timestamp	CO2	PM2.5	humidity	temperature	CRI	CRI_pred	fan_speed_fuzzy
2024-07-26 00:00:00	749.7	14.6	58.5	21.0	0.583	0.59	2
2024-07-26 00:01:00	686.2	16.5	57.8	22.4	0.581	0.578	2
2024-07-26 00:02:00	764.8	15.0	45.6	23.1	0.577	0.577	2
2024-07-26 00:03:00	852.3	18.6	60.8	24.2	0.592	0.591	2
2024-07-26 00:04:00	676.6	24.0	40.1	25.5	0.578	0.583	2
2024-07-26 00:05:00	676.6	14.1	48.5	25.0	0.574	0.577	2
2024-07-26 00:06:00	857.9	23.0	35.0	22.2	0.582	0.602	2
2024-07-26 00:07:00	776.7	14.1	70.6	23.4	0.59	0.586	2
2024-07-26 00:08:00	653.1	13.8	52.7	24.1	0.575	0.593	2
2024-07-26 00:09:00	754.3	22.1	76.7	23.6	0.599	0.581	2
2024-07-26 00:10:00	653.7	22.6	63.0	23.6	0.588	0.593	2
2024-07-26 00:11:00	653.4	22.3	59.5	21.4	0.586	0.57	2
2024-07-26 00:12:00	724.2	11.4	49.1	22.3	0.574	0.564	2
2024-07-26 00:13:00	508.7	15.7	44.5	23.4	0.565	0.556	2
2024-07-26 00:14:00	527.5	22.1	60.2	19.4	0.58	0.57	2
2024-07-26 00:15:00	643.8	18.2	54.3	25.0	0.579	0.573	2
2024-07-26 00:16:00	598.7	12.6	41.6	21.9	0.565	0.588	2
2024-07-26 00:17:00	731.4	20.3	39.8	25.0	0.577	0.568	2
2024-07-26 00:18:00	609.2	14.4	45.4	24.9	0.569	0.553	2
2024-07-26 00:19:00	558.8	27.0	73.2	23.2	0.593	0.598	2
2024-07-26 00:20:00	846.6	25.7	77.1	25.5	0.607	0.609	2
2024-07-26 00:21:00	677.4	21.0	57.0	25.1	0.584	0.607	2
2024-07-26 00:22:00	706.8	24.8	56.5	23.5	0.589	0.588	2
2024-07-26 00:23:00	557.5	18.3	51.6	23.4	0.574	0.551	2
2024-07-26 00:24:00	645.6	21.8	45.7	25.6	0.578	0.573	2
2024-07-26 00:25:00	711.1	25.4	68.8	24.3	0.596	0.592	2
2024-07-26 00:26:00	584.9	19.2	73.7	25.6	0.588	0.575	2
2024-07-26 00:27:00	737.6	16.7	46.1	20.4	0.578	0.572	2
2024-07-26 00:28:00	639.9	9.5	54.2	24.1	0.571	0.57	2
2024-07-26 00:29:00	670.8	17.6	50.5	21.6	0.578	0.577	2
2024-07-26 00:30:00	639.8	22.1	50.8	24.0	0.58	0.567	2
2024-07-26 00:31:00	885.2	22.7	66.9	25.1	0.601	0.607	2
2024-07-26 00:32:00	698.7	20.5	41.9	26.6	0.577	0.593	2
2024-07-26 00:33:00	594.2	15.3	59.7	22.6	0.577	0.58	2
2024-07-26 00:34:00	782.3	8.1	62.3	23.2	0.581	0.592	2
2024-07-26 00:35:00	577.9	15.5	53.6	23.9	0.573	0.575	2
2024-07-26 00:36:00	720.9	16.5	63.9	22.5	0.586	0.576	2
2024-07-26 00:37:00	504.0	16.4	56.5	25.5	0.572	0.575	2
2024-07-26 00:38:00	567.2	21.1	67.2	23.9	0.585	0.58	2
2024-07-26 00:39:00	719.7	27.9	39.8	24.2	0.583	0.572	2
2024-07-26 00:40:00	773.8	18.6	51.5	24.9	0.584	0.583	2
2024-07-26 00:41:00	717.1	16.9	54.3	23.9	0.581	0.589	2
2024-07-26 00:42:00	688.4	16.7	30.0	22.8	0.567	0.563	2
2024-07-26 00:43:00	669.9	18.6	44.1	23.9	0.575	0.595	2
2024-07-26 00:44:00	552.1	13.9	46.9	22.7	0.567	0.577	2
2024-07-26 00:45:00	628.0	18.6	64.5	24.2	0.584	0.579	2
2024-07-26 00:46:00	653.9	20.3	47.9	25.5	0.578	0.572	2
2024-07-26 00:47:00	805.7	19.0	46.8	22.2	0.583	0.605	2
2024-07-26 00:48:00	734.4	20.3	63.2	21.7	0.59	0.586	2
2024-07-26 00:49:00	523.7	20.2	38.8	24.1	0.567	0.571	2
2024-07-26 00:50:00	732.4	9.1	34.3	22.8	0.565	0.569	2
2024-07-26 00:51:00	661.5	21.2	51.4	24.0	0.581	0.564	2
2024-07-26 00:52:00	632.3	14.6	40.5	24.5	0.568	0.551	2
2024-07-26 00:53:00	761.2	12.5	40.9	20.8	0.573	0.581	2
2024-07-26 00:54:00	803.1	12.5	60.7	25.0	0.585	0.574	2
2024-07-26 00:55:00	793.1	20.2	63.8	22.2	0.593	0.593	2
2024-07-26 00:56:00	616.1	16.9	62.9	24.0	0.581	0.566	2
2024-07-26 00:57:00	669.1	9.6	66.1	23.0	0.579	0.576	2
2024-07-26 00:58:00	733.1	20.4	67.4	23.2	0.592	0.594	2
2024-07-26 00:59:00	797.6	10.8	33.7	26.5	0.569	0.548	2
2024-07-26 01:00:00	652.1	18.7	59.5	24.5	0.583	0.583	2
2024-07-26 01:01:00	681.4	19.2	49.7	25.4	0.579	0.58	2
2024-07-26 01:02:00	589.4	22.4	47.5	24.2	0.576	0.572	2
2024-07-26 01:03:00	580.4	26.9	60.6	24.9	0.587	0.576	2
2024-07-26 01:04:00	781.3	11.2	37.7	24.6	0.571	0.567	2
2024-07-26 01:05:00	835.6	17.7	37.5	24.4	0.578	0.575	2
2024-07-26 01:06:00	692.8	16.6	61.3	25.7	0.584	0.603	2
2024-07-26 01:07:00	800.4	20.2	59.9	24.2	0.591	0.59	2
2024-07-26 01:08:00	736.2	19.1	56.4	27.4	0.585	0.58	2
2024-07-26 01:09:00	635.5	16.2	46.2	25.4	0.573	0.571	2
2024-07-26 01:10:00	736.1	15.8	62.4	22.3	0.585	0.59	2
2024-07-26 01:11:00	853.8	12.4	61.8	23.7	0.587	0.591	2
2024-07-26 01:12:00	696.4	22.9	55.9	24.6	0.586	0.591	2
2024-07-26 01:13:00	856.5	20.3	43.2	24.1	0.585	0.591	2
2024-07-26 01:14:00	438.0	22.6	50.7	25.0	0.571	0.557	2
2024-07-26 01:15:00	782.2	16.4	63.4	25.2	0.589	0.594	2
2024-07-26 01:16:00	708.7	14.7	68.3	22.0	0.586	0.588	2
2024-07-26 01:17:00	670.1	12.6	51.7	25.9	0.574	0.568	2
2024-07-26 01:18:00	709.2	19.8	52.5	23.3	0.582	0.583	2
2024-07-26 01:19:00	501.2	12.8	53.4	23.1	0.567	0.566	2
2024-07-26 01:20:00	678.0	27.2	57.7	23.1	0.59	0.59	2
2024-07-26 01:21:00	735.7	11.5	49.2	25.2	0.575	0.577	2
2024-07-26 01:22:00	847.8	19.4	30.0	23.6	0.576	0.56	2
2024-07-26 01:23:00	648.2	25.8	66.9	23.0	0.593	0.595	2
2024-07-26 01:24:00	619.2	21.0	72.9	23.4	0.59	0.597	2
2024-07-26 01:25:00	649.8	18.9	48.9	21.3	0.577	0.579	2
2024-07-26 01:26:00	791.5	13.2	44.3	22.7	0.576	0.569	2
2024-07-26 01:27:00	732.9	11.1	53.6	22.1	0.577	0.568	2
2024-07-26 01:28:00	647.0	21.9	53.1	23.6	0.582	0.584	2
2024-07-26 01:29:00	751.3	25.5	65.0	25.0	0.596	0.604	2
2024-07-26 01:30:00	709.7	15.8	55.5	24.8	0.581	0.594	2
2024-07-26 01:31:00	796.9	12.3	47.1	25.9	0.577	0.585	2
2024-07-26 01:32:00	629.8	5.7	41.8	25.6	0.561	0.566	2
2024-07-26 01:33:00	667.2	13.1	63.7	23.2	0.581	0.555	2
2024-07-26 01:34:00	660.8	17.4	61.0	24.0	0.583	0.577	2
2024-07-26 01:35:00	553.6	26.0	65.6	24.0	0.588	0.591	2
2024-07-26 01:36:00	729.6	21.4	45.3	20.8	0.581	0.574	2
2024-07-26 01:37:00	726.1	19.5	73.4	22.2	0.594	0.585	2
2024-07-26 01:38:00	700.5	16.0	37.6	23.7	0.571	0.56	2
2024-07-26 01:39:00	676.5	15.1	62.1	23.7	0.582	0.6	2
2024-07-26 01:40:00	558.5	25.0	35.9	24.8	0.571	0.558	2
2024-07-26 01:41:00	657.9	19.0	47.1	24.7	0.577	0.574	2
2024-07-26 01:42:00	665.7	7.5	70.6	21.3	0.579	0.572	2
2024-07-26 01:43:00	619.8	14.6	63.3	24.8	0.58	0.571	2
2024-07-26 01:44:00	683.9	13.7	49.5	24.3	0.574	0.579	2
2024-07-26 01:45:00	740.4	15.3	49.8	24.9	0.579	0.587	2
2024-07-26 01:46:00	888.6	20.8	56.0	25.6	0.593	0.582	2
2024-07-26 01:47:00	717.5	17.5	60.1	23.8	0.585	0.585	2
2024-07-26 01:48:00	725.8	17.6	67.5	25.9	0.589	0.588	2
2024-07-26 01:49:00	692.6	24.6	50.4	22.7	0.585	0.58	2
2024-07-26 01:50:00	508.1	14.5	38.9	22.6	0.561	0.552	2
2024-07-26 01:51:00	697.3	27.3	56.6	24.6	0.591	0.602	2
2024-07-26 01:52:00	706.0	14.6	50.4	23.4	0.577	0.566	2
2024-07-26 01:53:00	946.3	18.4	42.0	24.4	0.586	0.573	2
2024-07-26 01:54:00	680.8	16.6	58.0	27.0	0.581	0.592	2
2024-07-26 01:55:00	730.2	18.6	52.9	24.6	0.583	0.585	2
2024-07-26 01:56:00	696.5	20.2	58.1	24.3	0.585	0.573	2
2024-07-26 01:57:00	583.1	20.2	46.1	22.7	0.574	0.573	2
2024-07-26 01:58:00	814.3	14.2	59.9	21.5	0.586	0.58	2
2024-07-26 01:59:00	775.2	12.4	41.8	23.9	0.574	0.588	2
2024-07-26 02:00:00	779.1	30.5	46.7	25.6	0.592	0.589	2
2024-07-26 02:01:00	609.1	15.6	52.6	23.5	0.574	0.58	2
2024-07-26 02:02:00	840.3	21.5	72.4	24.6	0.6	0.6	2
2024-07-26 02:03:00	559.8	10.0	62.8	26.1	0.572	0.587	2
2024-07-26 02:04:00	758.7	16.6	65.8	26.1	0.589	0.591	2
2024-07-26 02:05:00	919.0	17.4	69.2	24.6	0.599	0.61	2
2024-07-26 02:06:00	600.9	20.4	80.0	24.3	0.593	0.598	2
2024-07-26 02:07:00	643.4	4.4	55.4	21.7	0.568	0.562	2
2024-07-26 02:08:00	710.0	18.8	69.2	23.1	0.59	0.59	2
2024-07-26 02:09:00	649.7	12.3	65.1	23.6	0.58	0.578	2
2024-07-26 02:10:00	544.9	19.6	65.0	22.7	0.581	0.576	2
2024-07-26 02:11:00	706.9	12.8	72.7	24.4	0.587	0.576	2
2024-07-26 02:12:00	593.8	13.7	50.8	26.9	0.571	0.585	2
2024-07-26 02:13:00	747.4	16.6	50.0	26.3	0.58	0.56	2
2024-07-26 02:14:00	608.1	12.7	58.2	24.4	0.575	0.588	2
2024-07-26 02:15:00	855.0	15.6	53.2	25.2	0.586	0.572	2
2024-07-26 02:16:00	621.7	12.0	58.2	22.9	0.575	0.58	2
2024-07-26 02:17:00	667.8	8.8	70.6	26.2	0.58	0.574	2
2024-07-26 02:18:00	781.4	23.1	50.2	21.7	0.587	0.571	2
2024-07-26 02:19:00	576.9	11.5	52.0	25.4	0.569	0.58	2
2024-07-26 02:20:00	722.7	17.1	56.7	24.7	0.583	0.559	2
2024-07-26 02:21:00	830.7	21.8	52.7	22.9	0.59	0.598	2
2024-07-26 02:22:00	539.3	14.9	35.9	23.7	0.562	0.563	2
2024-07-26 02:23:00	718.5	13.9	49.2	22.3	0.576	0.587	2
2024-07-26 02:24:00	726.0	19.1	61.9	22.4	0.588	0.594	2
2024-07-26 02:25:00	778.2	23.6	69.4	21.6	0.598	0.604	2
2024-07-26 02:26:00	576.3	12.2	43.5	25.2	0.565	0.574	2
2024-07-26 02:27:00	568.0	17.2	43.4	25.8	0.569	0.577	2
2024-07-26 02:28:00	752.2	9.3	55.3	20.8	0.577	0.581	2
2024-07-26 02:29:00	729.7	16.0	34.2	26.8	0.57	0.567	2
2024-07-26 02:30:00	725.0	18.2	50.6	24.0	0.581	0.578	2
2024-07-26 02:31:00	734.6	13.7	37.6	24.4	0.571	0.572	2
2024-07-26 02:32:00	632.0	15.7	68.7	21.8	0.584	0.581	2
2024-07-26 02:33:00	723.2	11.0	47.3	26.0	0.573	0.595	2
2024-07-26 02:34:00	729.3	18.4	71.5	24.3	0.592	0.591	2
2024-07-26 02:35:00	628.6	23.3	66.1	25.7	0.589	0.578	2
2024-07-26 02:36:00	886.6	12.5	48.5	25.8	0.582	0.581	2
2024-07-26 02:37:00	747.4	14.9	44.3	26.0	0.576	0.567	2
2024-07-26 02:38:00	580.9	20.5	53.1	23.0	0.577	0.597	2
2024-07-26 02:39:00	765.7	24.1	54.0	23.7	0.589	0.59	2
2024-07-26 02:40:00	602.5	10.5	58.5	23.1	0.573	0.579	2
2024-07-26 02:41:00	778.7	17.2	47.2	25.3	0.581	0.586	2
2024-07-26 02:42:00	815.9	19.4	62.5	24.5	0.592	0.602	2
2024-07-26 02:43:00	617.9	17.5	57.7	25.6	0.579	0.581	2
2024-07-26 02:44:00	796.3	5.6	51.6	25.7	0.574	0.57	2
2024-07-26 02:45:00	741.3	20.5	47.9	21.4	0.582	0.583	2
2024-07-26 02:46:00	782.2	25.6	53.2	26.0	0.591	0.579	2
2024-07-26 02:47:00	889.7	18.6	46.8	25.4	0.587	0.585	2
2024-07-26 02:48:00	675.5	12.8	55.6	23.4	0.576	0.594	2
2024-07-26 02:49:00	624.6	15.4	55.9	24.5	0.577	0.584	2
2024-07-26 02:50:00	611.0	26.8	57.6	23.8	0.587	0.586	2
2024-07-26 02:51:00	618.4	22.5	72.7	24.9	0.592	0.612	2
2024-07-26 02:52:00	692.3	21.2	53.7	23.4	0.584	0.577	2
2024-07-26 02:53:00	734.1	19.8	65.0	24.7	0.59	0.594	2
2024-07-26 02:54:00	727.7	14.7	57.3	24.1	0.581	0.578	2
2024-07-26 02:55:00	782.7	17.0	52.6	23.4	0.583	0.581	2
2024-07-26 02:56:00	701.3	17.6	53.8	24.3	0.581	0.585	2
2024-07-26 02:57:00	845.4	20.7	54.4	28.1	0.59	0.596	2
2024-07-26 02:58:00	673.5	25.5	57.8	23.0	0.589	0.587	2
2024-07-26 02:59:00	972.0	23.6	45.4	23.6	0.594	0.585	2
2024-07-26 03:00:00	762.6	10.9	40.3	23.0	0.571	0.589	2
